nickname,count,every,age
Akela,16,235,v7
Balů,16,564,v6
Vašek,15,1128,v6
Srnka,15,1669,v5
Žofka,15,1436,v3
Sněhurka,15,556,v5
Šíma,15,2394,v3
Míra,15,556,v5
Rajče,15,1128,v6
Pavouček,15,2364,v2
Poštolka,15,2394,v3
Mary,15,835,v5
Prcek,15,1128,v6
Monty,15,704,v7
Nemo,15,2113,v7
Kaktus,15,1128,v6
Havran,15,835,v5
Indián,15,1669,v5
Kačer,15,1656,v4
Kulda,15,835,v5
Hrášek,15,2394,v3
Koblížek,15,3251,v2
Barča,15,3251,v2
Amálka,15,2113,v7
Brouk,15,1057,v7
Čmelda,15,828,v4
Dino,15,2182,v1
Šíp,14,2485,v4
Žába,14,835,v5
Vodník,14,2394,v3
Štika,14,2394,v3
Tygřík,14,3251,v2
Ťapka,14,1669,v5
Šerif,14,528,v7
Sovička,14,3251,v2
Yetti,14,417,v5
Trpaslík,14,2485,v4
Vítek,14,2394,v3
Tesák,14,828,v4
Rozárka,14,1128,v6
Peťa,14,828,v4
Rychlonožka,14,1128,v6
Ninja,14,1669,v5
Máťa,14,2394,v3
Padák,14,1656,v4
Králíček,14,3491,v1
Lída,14,528,v7
Kuky,14,2001,v2
Káně,14,1436,v3
Kačaba,14,1669,v5
Jahůdka,14,2394,v3
Hruška,14,3251,v2
Klárka,14,2394,v3
Kachna,14,1796,v3
Knedlík,14,2890,v2
Janek,14,1656,v4
Koník,14,1128,v6
Bubu,14,1669,v5
Amazonka,14,835,v5
Fido,14,1128,v6
Bobeš,14,1128,v6
Eliška,14,1057,v7
Dodo,14,1197,v3
Tříska,13,1656,v4
Šíša,13,1436,v3
Tlapka,13,1128,v6
stoupa,13,417,v5
Torpédo,13,2890,v2
Tečka,13,1669,v5
Šotek,13,994,v4
Sid,13,1057,v7
Víťa,13,1128,v6
Meloun,13,1197,v3
Matěj,13,1242,v4
Pajda,13,835,v5
Jirka,13,704,v7
Glum,13,1669,v5
John,13,564,v6
Lucka,13,1242,v4
Kytička,13,2485,v4
George,13,556,v5
Lentilka,13,3251,v2
Krokodýl,13,2601,v2
Houba,13,2485,v4
Bibi,13,2394,v3
Dráček,13,1197,v3
Banán,13,1436,v3
Bebe,13,2890,v2
Danča,13,1436,v3
Fox,13,704,v7
Bidlo,13,417,v5
Cukřík,13,1669,v5
Slůně,12,1796,v3
Starosta,12,2113,v7
Vážka,12,1128,v6
Želvička,12,3715,v2
Veverčák,12,2394,v3
Uzel,12,1242,v4
Nika,12,1669,v5
Puma,12,2890,v2
Profesor,12,2394,v3
Majka,12,376,v6
Máňa,12,1656,v4
Pišta,12,835,v5
Kitty,12,3251,v2
Lili,12,564,v6
Ledňáček,12,1656,v4
Jack,12,835,v5
Kutil,12,1669,v5
Junior,12,3591,v3
Kometa,12,2394,v3
Hans,12,1128,v6
Karel,12,1057,v7
Kulička,12,1242,v4
Kivi,12,1669,v5
Kulich,12,1242,v4
Jestřáb,12,704,v7
Frodo,12,1796,v3
Brambora,12,1669,v5
Čolek,12,1656,v4
Bety,12,1669,v5
Bambule,12,2890,v2
Alík,12,1128,v6
Citron,12,1128,v6
Bill,12,528,v7
Eda,12,1669,v5
Bivoj,12,1057,v7
Brčko,12,1128,v6
Vlnka,11,3591,v3
Uhlík,11,1669,v5
Žíža,11,2394,v3
Sekáč,11,2394,v3
Týna,11,1436,v3
Štístko,11,1242,v4
Týnka,11,2394,v3
Viking,11,2113,v7
Škubánek,11,2113,v7
Šáša,11,3591,v3
Rambo,11,1669,v5
Ráďa,11,1796,v3
Papája,11,1128,v6
Mišák,11,1656,v4
Macek,11,497,v4
Opička,11,2394,v3
Pulec,11,835,v5
Pinďa,11,1656,v4
Natka,11,3591,v3
Otazník,11,2113,v7
Mazlík,11,2890,v2
Potápka,11,1436,v3
Martin,11,2485,v4
Míla,11,1197,v3
Mat,11,2113,v7
Pú,11,1436,v3
Plamínek,11,3591,v3
Chip,11,1796,v3
Kulíšek,11,3715,v2
Indy,11,1669,v5
Jéňa,11,835,v5
Líza,11,2113,v7
Kobra,11,564,v6
Lukáš,11,2394,v3
Husky,11,3251,v2
Copánek,11,1656,v4
Áňa,11,1669,v5
Děda,11,423,v7
Čiči,11,3591,v3
Einstein,11,3591,v3
Akéla,11,302,v7
Dája,11,1669,v5
Burák,11,1242,v4
Červenáček,11,1669,v5
Sýkorka,10,2909,v1
Šakal,10,1669,v5
Šmoulinka,10,2890,v2
Střela,10,4364,v1
Šikulka,10,2113,v7
Veve,10,3591,v3
Skippy,10,1669,v5
Máša,10,1128,v6
Plaváček,10,1669,v5
